Name,Salary,Position,Age,Block,Steal,Assist,Two Points,Three Points
A.J. Hammons,1312611,C,24,0.5909090909090909,0.045454545454545456,0.18181818181818182,0.5454545454545454,0.22727272727272727
Aaron Brooks,2116955,PG,32,0.13846153846153847,0.38461538461538464,1.9230769230769231,1.123076923076923,0.7384615384615385
Aaron Gordon,5504420,SF,21,0.5,0.8,1.875,3.95,0.9625
Al Horford,27734405,C,30,1.2794117647058822,0.7647058823529411,4.955882352941177,4.3088235294117645,1.2647058823529411
Al Jefferson,9769821,C,32,0.24242424242424243,0.2878787878787879,0.8636363636363636,3.5606060606060606,0.0
Alan Williams,6000000,C,24,0.6808510638297872,0.574468085106383,0.48936170212765956,2.9361702127659575,0.0
Alec Burks,10845506,SG,25,0.11904761904761904,0.42857142857142855,0.7142857142857143,1.7619047619047619,0.5952380952380952
Alex Abrines,5725000,SG,23,0.11764705882352941,0.5441176470588235,0.5882352941176471,0.5882352941176471,1.3823529411764706
Alex Len,4187599,C,23,1.2727272727272727,0.4805194805194805,0.5714285714285714,2.948051948051948,0.03896103896103896
Alexis Ajinca,4961798,C,28,0.5641025641025641,0.5128205128205128,0.3076923076923077,2.282051282051282,0.0
Al-Farouq Aminu,7319035,SF,26,0.7213114754098361,0.9836065573770492,1.6229508196721312,1.8524590163934427,1.1475409836065573
Allen Crabbe,19332500,SG,24,0.25316455696202533,0.6835443037974683,1.1772151898734178,2.1392405063291138,1.6962025316455696
Amir Johnson,11000000,PF,29,0.775,0.65,1.75,2.325,0.3375
Anderson Varejao,1913345,C,34,0.21428571428571427,0.21428571428571427,0.7142857142857143,0.35714285714285715,0.0
Andre Drummond,23775506,C,23,1.0987654320987654,1.5308641975308641,1.0987654320987654,5.938271604938271,0.024691358024691357
Andre Iguodala,14814815,SF,33,0.5131578947368421,1.0,3.4473684210526314,2.039473684210526,0.8421052631578947
Andre Roberson,9259259,SF,25,1.0,1.1898734177215189,1.0,2.151898734177215,0.569620253164557
Andrew Bogut,2328652,C,32,0.9259259259259259,0.48148148148148145,1.8148148148148149,1.4074074074074074,0.0
Andrew Harrison,1312611,PG,22,0.2777777777777778,0.75,2.75,1.0277777777777777,0.5972222222222222
Andrew Nicholson,2844429,PF,27,0.15789473684210525,0.42105263157894735,0.2631578947368421,1.0,0.13157894736842105
Andrew Wiggins,7574322,SF,21,0.36585365853658536,1.0,2.3048780487804876,7.390243902439025,1.2560975609756098
Anthony Davis,23775506,C,23,2.2266666666666666,1.2533333333333334,2.0933333333333333,9.733333333333333,0.5333333333333333
Anthony Tolliver,3290000,PF,31,0.3076923076923077,0.5076923076923077,1.1846153846153846,1.0,1.3846153846153846
Aron Baynes,4328000,C,30,0.52,0.22666666666666666,0.4266666666666667,1.9066666666666667,0.0
Arron Afflalo,2328652,SG,31,0.11475409836065574,0.3442622950819672,1.278688524590164,2.0163934426229506,1.0163934426229508
Austin Rivers,11825000,SG,24,0.13513513513513514,0.6486486486486487,2.7567567567567566,2.864864864864865,1.5
Avery Bradley,8808989,SG,26,0.2,1.2363636363636363,2.2,4.5636363636363635,1.9636363636363636
Axel Toupane,25000,SF,24,0.25,0.25,0.0,1.0,0.25
Ben McLemore,5200000,SG,23,0.09836065573770492,0.47540983606557374,0.8360655737704918,1.8852459016393444,1.0655737704918034
Beno Udrih,25000,PG,34,0.0,0.3333333333333333,3.358974358974359,2.076923076923077,0.28205128205128205
Bismack Biyombo,17000000,C,24,1.123456790123457,0.30864197530864196,0.9135802469135802,2.2098765432098766,0.0
Blake Griffin,29512900,PF,27,0.3770491803278688,0.9508196721311475,4.918032786885246,7.229508196721311,0.6229508196721312
Boban Marjanovic,7000000,C,28,0.34285714285714286,0.17142857142857143,0.2571428571428571,2.057142857142857,0.0
Bobby Brown,1524305,PG,32,0.0,0.04,0.56,0.36,0.56
Bobby Portis,1516320,PF,21,0.171875,0.25,0.546875,2.359375,0.5
Bojan Bogdanovic,10500000,SF,27,0.08641975308641975,0.41975308641975306,1.3703703703703705,2.8641975308641974,1.7777777777777777
Bradley Beal,23775506,SG,23,0.2727272727272727,1.077922077922078,3.4675324675324677,5.376623376623376,2.896103896103896
Brandan Wright,5955760,PF,29,0.7142857142857143,0.39285714285714285,0.5357142857142857,2.9642857142857144,0.0
Brandon Ingram,5519400,SF,19,0.45569620253164556,0.6329113924050633,2.1012658227848102,2.7974683544303796,0.6962025316455697
Brandon Knight,13618750,SG,25,0.09259259259259259,0.5,2.4074074074074074,3.037037037037037,0.8333333333333334
Briante Weber,50000,PG,24,0.05,0.6,1.05,1.2,0.05
Brice Johnson,1331160,PF,22,0.3333333333333333,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0
Brook Lopez,22642350,C,28,1.6533333333333333,0.5066666666666667,2.3466666666666667,5.613333333333333,1.7866666666666666
Bruno Caboclo,2451225,SF,21,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.4444444444444444,0.2222222222222222
Bryn Forbes,1312611,SG,23,0.0,0.027777777777777776,0.6388888888888888,0.5277777777777778,0.4722222222222222
Buddy Hield,3675480,SG,23,0.10975609756097561,0.4634146341463415,1.475609756097561,2.182926829268293,1.8048780487804879
C.J. McCollum,23962573,SG,25,0.525,0.9,3.5625,6.3375,2.3125
C.J. Miles,7936509,SF,29,0.32894736842105265,0.6052631578947368,0.631578947368421,1.4736842105263157,2.223684210526316
C.J. Watson,333334,PG,32,0.03225806451612903,0.6935483870967742,1.8387096774193548,1.032258064516129,0.5161290322580645
Cameron Payne,2203440,PG,22,0.16129032258064516,0.45161290322580644,1.7741935483870968,1.1935483870967742,0.8709677419354839
Caris LeVert,1632480,SF,22,0.14035087719298245,0.8596491228070176,1.9298245614035088,1.9649122807017543,1.0350877192982457
Carmelo Anthony,26243760,SF,32,0.4594594594594595,0.8108108108108109,2.8783783783783785,6.094594594594595,2.0405405405405403
Chandler Parsons,23112004,SF,28,0.14705882352941177,0.5882352941176471,1.6176470588235294,1.4705882352941178,0.7352941176470589
Channing Frye,7420912,C,33,0.5,0.44594594594594594,0.6081081081081081,1.364864864864865,1.8513513513513513
Chasson Randle,1312611,PG,23,0.07692307692307693,0.34615384615384615,1.3076923076923077,0.9230769230769231,0.6153846153846154
Cheick Diallo,1312611,PF,20,0.4117647058823529,0.23529411764705882,0.23529411764705882,2.1176470588235294,0.0
